
Int Temp 1	Int Temp 2	Int Temp 3	Int Temp 4	Int Temp 5	Ext Temp 1	Ext Temp 2	Pressure	Humidity	UDOO Temo	Spec Temp	ADS Temp	Time
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:19 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:21 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:23 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:26 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:28 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:30 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:32 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:34 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:36 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:38 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:40 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:42 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:44 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:46 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:48 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:50 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:52 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:54 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:57 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:41:59 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:01 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:03 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:05 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:07 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:09 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:11 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:13 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:15 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:17 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:19 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:21 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:23 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:25 2018
25	26	0	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:28 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:30 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:32 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:34 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:36 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:38 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:40 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:42 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:44 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:46 2018
25	26	0	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:48 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:50 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:52 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:54 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:56 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:42:58 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:00 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:03 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:05 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:07 2018
25	26	0	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:09 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:11 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:13 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:15 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:17 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:19 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:21 2018
25	26	0	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:23 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:25 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:27 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:29 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:31 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:34 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:36 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:38 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:40 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:42 2018
25	26	0	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:44 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:46 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:48 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:50 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:52 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:54 2018
25	26	26	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:56 2018
25	26	0	0	0	22	24	0	0	39	0	0	Thu Apr 19 20:43:58 2018
